conn_in	conn_out	dns_in_distinct	ssh_in
49613.0	19552.0	30.0	2696.0
49703.0	19610.0	30.0	2546.0
49080.0	19483.0	26.0	2377.0
48277.0	19425.0	27.0	2212.0
48175.0	19152.0	29.0	2072.0
48030.0	19364.0	32.0	1992.0
50352.0	18613.0	30.0	1933.0
50910.0	18973.0	30.0	1910.0
50297.0	18769.0	30.0	1931.0
50577.0	19248.0	29.0	1941.0
50646.0	18895.0	26.0	1954.0
50209.0	19099.0	24.0	1896.0
56491.0	23424.0	25.0	1739.0
57959.0	23369.0	25.0	1727.0
58247.0	23408.0	26.0	1717.0
58978.0	23436.0	26.0	1705.0
58569.0	23427.0	30.0	1749.0
58778.0	23571.0	33.0	1864.0
52625.0	19096.0	36.0	2138.0
52057.0	19201.0	35.0	2236.0
52318.0	18673.0	34.0	2273.0
52090.0	18860.0	33.0	2351.0
52650.0	18911.0	30.0	2329.0
52973.0	18753.0	29.0	2321.0
50814.0	19266.0	26.0	2282.0
48620.0	18445.0	25.0	2354.0
48618.0	19342.0	32.0	2566.0
46826.0	18199.0	31.0	2721.0
44606.0	18035.0	31.0	2751.0
42270.0	17170.0	32.0	2732.0
40032.0	16660.0	34.0	2703.0
40823.0	16521.0	37.0	2585.0
38516.0	15451.0	32.0	2385.0
37982.0	15707.0	33.0	2198.0
37687.0	15234.0	34.0	2181.0
38045.0	15717.0	36.0	2224.0
37586.0	15460.0	37.0	2210.0
36128.0	15639.0	37.0	2885.0
37019.0	15583.0	38.0	3794.0
38131.0	15509.0	40.0	4642.0
39787.0	15875.0	42.0	5849.0
40541.0	15481.0	42.0	6625.0
43942.0	15458.0	42.0	7018.0
44627.0	15543.0	39.0	7031.0
44303.0	15485.0	33.0	6579.0
44783.0	16014.0	28.0	6722.0
43887.0	15384.0	25.0	6132.0
43322.0	16058.0	27.0	5660.0
48584.0	20055.0	25.0	5483.0
51421.0	20836.0	28.0	4764.0
50741.0	20698.0	28.0	4380.0
49619.0	20256.0	27.0	3906.0
