number_of_conn  sum_orig_bytes
16595	484293804
29823	2352139701
42214	3441880182
55848	3597720209
103089	3608747597
116832	3612003592
114082	3130504652
115091	3862441600
115942	3159371336
117386	3005934068
87853	3531003531
87099	3530672253
86157	3530257948
84710	945306183
84221	2906417078
83880	2906783085
81251	2374684274
83498	2374350073
83648	2374310970
86047	2362420045
86634	17898657
85725	18075497
85751	18459885
85260	18653851
88523	20321703
89178	21170484
89614	24688198
90526	25517781
89696	27545342
88642	30629277
88279	46054160
88374	1854755654
89163	4965697302
89000	9019866069
92265	11457451676
92260	11454946141
92185	11439337948
91016	9629412163
91425	6515024812
92765	2537872594
132493	3904171867
133862	5867265243
132302	10511788642
131496	12390470920
130097	13620715945
129185	13542800436
91371	9737910417
91290	7774900465
91427	4041018760
90692	3604932455
90132	2374142104
88906	2373608919
83422	2372587548
82723	2372364187
82656	1460399236
83893	17409082
83932	16789013
83767	16510257
83254	16361143
81496	2014310234
80264	2344691505
80179	2344717480
80930	2345183407
82037	2577088712
81988	5993247818
82899	5490774453
84315	5839402202
82996	8325683836
81946	13651725563
80694	19766752231
84101	18608927842
84741	18405918364
85110	20589605604
86637	25014116116
87816	23088669330
88945	16742535434
123162	14492217620
123152	13755842173
121679	10893357899
119523	3982219026
119036	581191285
118018	580361201
85268	572238981
85709	15337376
85738	14778839
86083	14784491
85393	14843841
85396	14917373
80326	13983915
79279	13622445
80027	13518304
80688	13389153
80075	13045292
80098	13308425
80547	13949077
79714	14122925
79921	14336007
80073	3344483909
80383	3368329804
79338	3395016039
